UI Number,App Package Name,app_id,element_type,label,position_x,position_y,width,height,tooltip
1,com.example.app1,1,Button,Submit,50,20,100,30,Click to submit
2,com.example.app1,1,TextField,Username,120,100,200,40,Enter your username
3,com.example.app2,2,Image,Profile Picture,10,30,300,100,Your profile picture
4,com.example.app3,3,Dropdown,Category,200,50,150,20,Select a category
5,com.example.app4,4,Checkbox,Terms,300,150,50,15,Agree to terms
6,com.example.app5,5,Slider,Volume,400,250,60,10,Adjust the volume
7,com.example.app6,6,RadioButton,Gender,100,300,90,15,Select your gender
8,com.example.app7,7,Button,Login,150,100,120,40,Login to your account
9,com.example.app8,8,Label,Welcome Message,50,50,400,20,Welcome to the app
10,com.example.app9,9,TextField,Password,120,150,200,40,Enter your password
